"NúmeroCaso","Ano","Data","Hora_UTC","Período","lat_d","lon_d","Estado_Costeiro","Resumo","iso_alpha","iso_num","Navio","Tipo_Navio","Bandeira","Estado do Navio","Distância_Costa(MN)","ÁREA_NAVEGAÇÃO","Classificação_Ataque","N_Criminosos","Armamento","Hijack","Sequestro","N_Sequestrados","Rapto","N_Raptados","Feridos","N_Feridos","Mortos","N_Mortos","MedidasProteção","Alarme","Ajuda_Autoridades","Equipa_Segurança","CIDADELA","Manobra_Evasiva","ValoresRoubados_Navio","Carga_Roubada","OBS","","","","","","","","","","",""
"#VALUE!","2020","2/15/2020","3:00","Noturno","-8.7233333333333","13.291666666667","Angola","Duty crew onboard an anchored vessel noticed the
paint store broken into and ship’s stores stolen","AGO","24","SANCO SEA","Tug","Reino Unido","Fundeado","2.4","Área Portuária","ROUBO","UNK","UNK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","","","",""
"#VALUE!","2020","2/26/2020","0:55","Noturno","-8.75","13.266666666667","Angola","While at anchor, four perpetrators boarded the
ship, broke the padlock to the paint locker room,
stole paint and escaped.","AGO","24","PACIFIC GOSLING","Supply Ship","Singapura","Fundeado","0.6","Área Portuária","ROUBO","4","UNK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2020","2/27/2020","8:30","Diurno","-8.1733333333333","12.693333333333","Angola","Eight Pirates in a small boat approached and
attempted to board a product tanker underway. All
non-essential crew mustered in the citadel and
CSO notified. Master commenced evasive
manoeuvres, resulting in the pirates aborting the
approach. Vessel and crew safe","AGO","24","SEA EMPEROR","Product tanker","IlhasMarshall","Navegar","48","Águas Internacionais","NCONSEGUIDO","8","UNK","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","","","","","","","","","","","",""
"#VALUE!","2020","8/10/2020","2:10","Noturno","-8.6996666666667","13.3075","Angola","Three robbers boarded an anchored ship. The deck patrol was threatened and tied by the robbers. When the deck patrol did not report for 15 minutes, the OOW raised the alarm. Crew mustered, proceeded forward and noticed the tied apprehended crew. The robbers escaped with stolen ship’s properties.","AGO","24","BBC DANUBE","General cargo","Antigua&Barbuda","Fundeado","4","Mar Territorial","ROUBO/SEQUESTRO","3","UNK","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2021","2/26/2021","2:30","Noturno","-8.752","13.284666666667","Angola","Unnoticed, robbers boarded an anchored ship. The theft was noticed by the duty AB during routine rounds. The crew conducted a search and reported ship’s properties stolen. Incident reported to local port authorities.","AGO","24","Name Withheld","Supply Ship","França","Fundeado","-","Área Portuária","ROUBO","-","UNK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2021","3/10/2021","7:00","Diurno","-8.7416666666667","13.251666666667","Angola","Unnoticed, robbers boarded an anchored ship. The theft was noticed by the duty Bosun during routine rounds. The crew conducted a search and reported ship’s properties stolen. Incident reported to local agent.","AGO","24","Flensburg","Container","Chipre","Fundeado","-","Área Portuária","ROUBO","-","UNK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2021","4/29/2021","1:00","Noturno","-8.6883333333333","13.295","Angola","Duty crew onboard an anchored ship noticed two unauthorised persons on the forecastle deck and notified the bridge. Ship’s horn sounded, crew mustered, and a search was carried out. Incident reported to port authorities and a patrol boat was dispatched to investigate. Nothing reported stolen.","AGO","24","Songa Calabria","Container","Libéria","Fundeado","-","Área Portuária","NCONSEGUIDO","-","UNK","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","","","","","","","","","","",""
"#VALUE!","2017","07/04/2017","1:00","Noturno ","-5.8685","13.0415","Angola","Duty crew on routine rounds onboard the anchored bulk carrier spotted six robbers on the forecastle and immediately informed the duty officer on the bridge. The alarm was raised and ship's whistle sounded. Upon seeing the alerted crew, the robbers fled in their boat with ship’s property.","AGO","24","BLUE BALANCE","Bulk Carrier","Panamá","Fundeado","0.25","Área Portuária","ROUBO","6","UNK","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2009","11/24/2009","1:20","Noturno ","6.343","2.4403333333333","Benin","Eight to nine robbers armed with guns and knives boarded the ship at anchor via the poop deck. They attacked the poop deck watchman and forced the watchman to the bridge. Robbers demanded ships cash, crews cash and personal belongings. They beat up the Master and four crew members. Some crew members were tied up and forced to lie on the deck. The 3rd officer activated ships alarm and SSAS alert. Hearing the alarm the robbers panicked and tried to escape. As they escaped they shot and killed the chief officer. One of the robbers was caught by the 2nd and 3rd officer and handed over to the Benin police. Most of the money was recovered from the robber that was caught. One crew member was killed and 4 crew members were injured. Crews cash andpersonal property were stolen. SSAS activated, alarm raised and contacted port control. Incident reported to police.","BEN","204","CANCALE STAR","Tanker","Libéria","Fundeado","0.1","Área Portuária","HOMICIDIO/ROUBO","9","Machine Gun/ Knives","0","0","0","1","3","1","4","1","1","1","1","0","0","0","0","1","0","Chief officer foi morto, 1 dos assaltantes foi apanhado ","","","","","","","","","","",""
"#VALUE!","2011","3/3/2011","2:00","Noturno ","6.15","2.4333333333333","Benin","14 armed pirates in two boats approached and boarded the tanker underway. They took control  of the tanker and ordered the Master to sail to Gabon. Master advised the pirates that the bUNKers were not enough and the pirates demanded to sail 60nm off Gabon to wait for a lightering barge. Having failed to meet with the barge off Gabon, the pirates directed the Master to sail towards Warri, Nigeria to lighter the cargo. Having received several SATCOMS from the owners office and from another vessel for bUNKering, the pirates panicked and directed the tanker towards Lagos. They contacted some local fast boats and abandoned their plans to steal the cargo. They stole ships crew belongings and left  the tanker upon reaching 3 NM off Badagri taking the Master and 2/E in two boats. Later, the Master and 2/E were allowed to return back to their tanker. Two crew received some injuries and some damages to bridge and crew cabins.","BEN","204","Duzgit Venture","Chemical Tanker","Malta","Navegar","12.5","Mar Territorial","ROUBO/SEQUESTRO","14","Machine Gun","1","1","2","0","0","1","2","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","4/13/2011","11:39","Diurno","5.2666666666667","2.0833333333333","Benin","Ten armed robbers boarded the tanker at anchor. The tanker sent a SSAS alert. The IMB Piracy Reporting Centre contacted the authorities and requested assistance for the crew and tanker. Further information  indicated that the robbers left the tanker on 14.04.2011 after stealing crew personal belongings and ships properties. All crew are safe.","BEN","204","Alessandra Bottiglieri","Chemical Tanker","Itália","Fundeado","67","Águas Internacionais","ROUBO","10","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","4/29/2011","22:55","Noturno ","6.1","2.6166666666667","Benin","Seven armed robbers in a boat approached an anchored tanker awaiting STS operations. D/O  immediately raised the alarm. Deck security watch keepers proceed with caution and saw two robbers trying to board the tanker via the fenders. Seeing the alert crew the robbers aborted their attempt and moved away. The robbers were observed  heading towards Lagos, Nigeria.","BEN","204","Gladiator","Tanker","Libéria","Fundeado","17","Águas Internacionais","NCONSEGUIDO","7","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","","","","","","","","","","",""
"#VALUE!","2011","5/8/2011","2:00","Noturno ","6.265","2.445","Benin","Armed robbers boarded the tanker at anchor. They threatened and assaulted some crew  members. Robbers stole ships cash, properties and crew personal belongings and escaped. One crew remains missing.","BEN","204","Sea King","Chemical Tanker","IlhasMarshall","Fundeado","6","Mar Territorial","ROUBO","6","Machine Gun","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","5/8/2011","1:30","Noturno ","6","2.3666666666667","Benin","Six pirates armed with guns boarded the tanker underway. Pirates opened fire towards bridge and accommodation. Pirates stole ships cash and crew personal belongings. Two crew members were manhandled and they suffered minor injuries. Pirates left in a waiting boat after 90 minutes.","BEN","204","Freja Nordica","Tanker","Panamá","Navegar","20","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","6/8/2011","17:20","Diurno","6.2833333333333","2.5166666666667","Benin","Heavily armed pirates attacked and hijacked an anchored tanker and forced the crew to sail to an UNKnown location. The tanker was made to discharge part of her cargo into another lightering vessel. Before leaving the  tanker, the pirates stole properties. Being released the crew sailed the ship towards Cotonou port.","BEN","204","Aristofanis","Chemical Tanker","Libéria","Fundeado","7","Mar Territorial","HIJACK/ROUBO","6","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","",""
"#VALUE!","2011","6/23/2011","23:30","Noturno ","6.1431666666667","2.471","Benin","Four robbers in a speed boat boarded the tanker. All crew went into citadel, but the robbers managed to capture the 2nd engineer before he could enter the citadel. Seeing this, the Master presented himself to the robbers as well. The robbers took the Master and 2nd engineer and stole ships and crew cash and personal belongings. During this time  the Master and 2nd engineer were also hit by the robbers. Port control was contacted but received no response. At the time  of the incident the tanker was undergoing STS operations and had to remove the razor wire to enable smooth operations. The  robbers took advantage of this and gained access to the tanker.","BEN","204","Silvaplana","Tanker","Grécia","Navegar","12","Mar Territorial","ROUBO","4","UNK","0","0","0","1","2","1","2","0","0","1","0","0","0","1","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","6/24/2011","1:50","Noturno ","6.265","2.5566666666667","Benin","About 10 robbers armed with guns and knives in a speed boat were seen approaching an anchored tanker with STS fenders alongside. D/O raised alarm, activated the SSAS and called port control but  received no response. Four robbers boarded the tanker via the STS fenders, entered the bridge and took the Master to his  cabin and stole ship cash and personal belongings. Later the D/O was taken to his cabin as well as all the other crew  cabins and stole crew personal belongings. At this time the crew were threatened. Some crew were also beaten. After the  robbers left the tanker at 0330 LT, port control was called again but there was still no answer.","BEN","204","SP Atlanta","Tanker","IlhasMarshall","Fundeado","8","Mar Territorial","ROUBO","10","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","6/24/2011","1:24","Noturno ","6.1583333333333","2.5333333333333","Benin","Twelve armed pirates boarded the tanker drifting in preparation for STS operations and hijacked her to an UNKnown location. They stole cash and crew valuables and harassed the crew members. The pirates later left the tanker and escaped.","BEN","204","Paterna","Chemical Tanker","Malta","Navegar","15","Águas Internacionais","HIJACK/ROUBO","12","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","6/30/2011","2:05","Noturno ","6","2.4833333333333","Benin","Armed robbers in a speed boat boarded the tanker during STS operations, stole ships and crew properties and escaped.","BEN","204","Feja Hafnia","Tanker","Singapura","Navegar","25","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","7/6/2011","22:30","Noturno ","6.26","2.3833333333333","Benin"," Ten robbers armed with guns approached an anchored tanker in a launch. They attempted to board the tanker using a hook attached with a rope. Alert crew raised the alarm. Master sent MAYDAY message via VHF and informed Cotonou signal station and the navy. The robbers aborted the attempted attack upon seeing the crew alertness.  Then at 0330 LT on 7th July, the same robbers approached the tanker looking for a way to board. Once again crew alertness and firing of parachute flares resulted in the robbers moving away.","BEN","204","Varg Star","Tanker","Bahamas","Navegar","4","Mar Territorial","NCONSEGUIDO","10","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","","","","","","","","","","",""
"#VALUE!","2011","7/6/2011","22:30","Noturno ","6.26","2.3833333333333","Benin","Ten robbers armed with guns attempted to board
the ship at anchor using a hook attached to a rope.
Alert crew raised the alarm. Master sent MAYDAY
message via VHF and informed Cotonou signal
station and the Navy. The next day the same
robbers attempted to board the ship. Crew was
alerted and parachute flares were fired. The
pirates escaped","BEN","204","VARG STAR","TANKER","Bahamas","Fundeado","4","Mar Territorial","NCONSEGUIDO","10","Machine Gun","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","","","","","","","","","","","",""
"#VALUE!","2011","7/16/2011","1:35","Noturno ","6.1466666666667","2.5133333333333","Benin","Armed robbers in a boat boarded and remained on board an anchored tanker for 63 hours. During this time they manhandled some crew resulting in minor injuries as well as stole part of the ships cargo. Prior to departing the tanker  they stole crew and ships property and damaged the navigation and radio equipment.","BEN","204","Aegean Star","Tanker","Libéria","Fundeado","15","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","1","3","1","3","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","",""
"#VALUE!","2011","7/24/2011","1:40","Noturno ","5.9893333333333","2.4018333333333","Benin","Armed pirates boarded the tanker engaged in STS operations via the other   tanker. They took hostage 23 crew members and hijacked the tanker to an UNKnown location. On 28.07.2011 the pirates left the tanker. Pirates stole crew cash, valuable and ships properties.","BEN","204","RBD Anema E  Core","Tanker","Itália","Navegar","20","Águas Internacionais","HIJACK/ROUBO","6","Machine Gun","1","0","0","1","23","0","0","0","0","0","0","0","0","0","0","1","0","Piratas apenas libertaram o navio 4 dias depois","","","","","","","","","","",""
"#VALUE!","2011","7/31/2011","1:50","Noturno ","5.9666666666667","2.4333333333333","Benin","About 10 robbers armed with guns boarded an anchored tanker engaged in STS operations. The robbers fired towards the bridge and the crew retreated into the engine room until the robbers left the tanker. Master informed the port authorities who sent two patrol boats for investigation.","BEN","204","Withheld","Chemical Tanker","Bahamas","Fundeado","25","Águas Internacionais","ROUBO","10","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","8/20/2011","23:25","Noturno ","5.6333333333333","2.65","Benin","Twelve pirates armed with guns hijacked the ship
during ship-to-ship operations","BEN","204","EMOCEAN","Chemical Tanker","Gibraltar","Navegar","51","Águas Internacionais","HIJACK","12","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","8/20/2011","23:25","Noturno ","5.6333333333333","2.65","Benin","Twelve pirates armed with guns boarded the tanker involved in STS operations. The pirates took control of the ship and sailed to an UNKnown location. Owners unable to contact the vessel. The vessel was released on 25.08.2011.","BEN","204","Emocean","Chemical Tanker","Gibraltar","Navegar","51","Águas Internacionais","HIJACK/ROUBO","12","Machine Gun","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","Piratas apenas libertaram o navio 5 dias depois","","","","","","","","","","",""
"#VALUE!","2011","8/21/2011","8:50","Diurno","5.1111666666667","2.4928333333333","Benin","Twenty to thirty pirates on board a fishing trawler,
dressed in army uniforms approached the ship
during ship-to-ship operations. Master activated
SSAS, sailed the ship to shore and took security
measure","BEN","204","CAPE ENDURANCE","Oil Tanker","IlhasMarshall","Navegar","86","Águas Internacionais","NCONSEGUIDO","30","UNK","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","","","","","","","","","","","",""
"#VALUE!","2011","10/2/2011","22:37","Noturno ","4.1","2.85","Benin","Pirates armed with automatic weapons in two small boats fired upon and boarded the drifting tanker. Crew   retreated into the citadel and remained there for the entire night. The crew emerged from the citadel the next day and upon inspection, that cash was stolen.","BEN","204","Baltic Mariner","Chemical Tanker","Chipre","Navegar","155","Águas Internacionais","ROUBO","6","Machine Gun","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","10/2/2011","20:37","Noturno ","4.1","2.85","Benin","Robbers armed with automatic weapons fired at
the ship underway. Crew retreated into the citadel.
The robbers stole ship’s cash and escaped","BEN","204","BALTIC MARINER","Oil Tanker","Chipre","Navegar","155","Águas Internacionais","ROUBO","UNK","Machine Gun","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","","","","","","","","","","","",""
"#VALUE!","2011","10/30/2011","20:45","Noturno ","4.6666666666667","2.8166666666667","Benin","Nine pirates armed with guns in a speed boat approached and fired upon a drifting bulk carrier. They  boarded the ship, ordered the Master to muster the crew on the bridge and destroyed the communication equipment. The  pirates took the crewmembers to their cabins one by one and stole the crewmembers cash and personal belongings. In   addition stole cash properties and escaped.","BEN","204","Desert Voyager","Bulk Carrier","Grécia","Navegar","120","Águas Internacionais","ROUBO","9","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2012","2/9/2012","9:02","Diurno","4.9583333333333","2.2783333333333","Benin","Pirates boarded took hostage 18 crew members and hijacked the tanker drifting whilst awaiting orders and sailed to an UNKnown location. The IMB Piracy Reporting Centre contacted and liaised with the Nigerian authorities and a rescue team from the navy was dispatched and intercepted the tanker and rescued all crew and tanker","BEN","204","Saphina","Tanker","Panamá","Navegar","83","Águas Internacionais","HIJACK","8","UNK","1","0","0","1","18","0","0","0","0","1","0","1","0","0","0","0","0","","","","","","","","","","","",""
"#VALUE!","2012","7/17/2012","0:45","Noturno ","6.2883333333333","2.4683333333333","Benin","Two robbers armed with guns boarded an anchored ship. They entered Master`s cabin and stole ships cash and escaped in a fast small wooden boat. No injuries to crew. Incident reported to authorities who came onboard to investigate","BEN","204","Argos","Cargo Ship","IlhasMarshall","Fundeado","4","Mar Territorial","ROUBO","2","Machine Gun","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","","","","","","","",""
"#VALUE!","2016","6/6/2016","16:40","Diurno","5.3783333333333","2.405","Benin","A mother vessel carrying two skiffs chased the merchant tanker for approximately 20 minutes. The potential incident was thwarted through successful use of BMPs.","BEN","204","STI BENICIA","Tanker","IlhasMarshall","Navegar","67","Águas Internacionais","NCONSEGUIDO","UNK","UNK","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","","","","","","","","","","","",""
"#VALUE!","2018","2/1/2018","7:45","Diurno","6.2666666666667","2.5166666666667","Benin","The IMB Piracy Reporting Centre (IMB PRC) received a missing vessel report from the owners of an anchored tanker awaiting berthing instruction. The owners reported that they had lost contact with the tanker laden with gasoline. The last communication received was on 01 Feb 2018 at 0748 UTC.
The IMB PRC immediately notified all the Regional Authorities and the International warships in the Gulf of Guinea, and a search was carried out.
The IMB PRC broadcast a message to all ships in the region to look out for the missing tanker. On 06 Feb 2018, the owners confirmed that the tanker was released. The crew and cargo safe.","BEN","204","MARINE EXPRESS","Product Tanker","Panamá","Fundeado","5","Mar Territorial","HIJACK/SEQUESTRO","UNK","UNK","1","1","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","",""
